dpt_idr_department,but_idr_business_unit,wee_id_week,oxr_account,f_value_account,rs_technical_date,rs_technical_flow
607,34037,201703,RTCMGI_AL,0.24886,2018-12-08 06:32:49.426331,init_taux_de_marge
607,34037,201703,S24300,20.78163,2018-12-08 06:32:49.426331,init_provision_demarque
607,34037,201703,T6100E,340.80290,2018-12-08 06:32:49.426331,calcul_frais_surface
607,34037,201703,T6520E,45.77104,2018-12-08 06:32:49.426331,calcul_contribution
607,34037,201703,W200,94.22415,2018-12-08 06:32:49.426331,calcul_reduction_sur_marge
607,34037,201703,NETMGE,792.33422,2018-12-08 06:32:49.426331,calcul_marge_nette
607,34037,201703,700TTC,3645.90000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
607,34037,201703,13500_AL,447.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
607,34037,201703,S13298_AL,293.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
607,34037,201703,NETMGI_AL,907.34001,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
607,34037,201703,S10190R,23.40000,2018-12-08 06:32:49.426331,init_linear_meter
769,34037,201703,S10190R,0.00000,2018-12-08 06:32:49.426331,init_linear_meter
4705,34037,201703,RTCMGI_AL,0.21730,2018-12-08 06:32:49.426331,init_taux_de_marge
4705,34037,201703,S24300,0.10242,2018-12-08 06:32:49.426331,init_provision_demarque
4705,34037,201703,T6100E,1.58267,2018-12-08 06:32:49.426331,calcul_frais_surface
4705,34037,201703,T6520E,0.22559,2018-12-08 06:32:49.426331,calcul_contribution
4705,34037,201703,W200,0.00228,2018-12-08 06:32:49.426331,calcul_reduction_sur_marge
4705,34037,201703,NETMGE,3.80028,2018-12-08 06:32:49.426331,calcul_marge_nette
4705,34037,201703,700TTC,17.97000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
4705,34037,201703,13500_AL,3.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
4705,34037,201703,S13298_AL,3.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
4705,34037,201703,NETMGI_AL,3.90500,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
620,34037,201703,S10190R,0.00000,2018-12-08 06:32:49.426331,init_linear_meter
540,34037,201703,RTCMGI_AL,0.04550,2018-12-08 06:32:49.426331,init_taux_de_marge
540,34037,201703,S24300,26.32118,2018-12-08 06:32:49.426331,init_provision_demarque
540,34037,201703,T6100E,431.67488,2018-12-08 06:32:49.426331,calcul_frais_surface
540,34037,201703,T6520E,57.97176,2018-12-08 06:32:49.426331,calcul_contribution
540,34037,201703,W200,151.15202,2018-12-08 06:32:49.426331,calcul_reduction_sur_marge
762,34037,201703,RTCMGI_AL,-6.74666,2018-12-08 06:32:49.426331,init_taux_de_marge
762,34037,201703,S24300,0.01140,2018-12-08 06:32:49.426331,init_provision_demarque
762,34037,201703,T6100E,0.13188,2018-12-08 06:32:49.426331,calcul_frais_surface
762,34037,201703,T6520E,0.02510,2018-12-08 06:32:49.426331,calcul_contribution
762,34037,201703,W200,0.00002,2018-12-08 06:32:49.426331,calcul_reduction_sur_marge
540,34037,201703,NETMGE,32.66070,2018-12-08 06:32:49.426331,calcul_marge_nette
762,34037,201703,NETMGE,-13.50476,2018-12-08 06:32:49.426331,calcul_marge_nette
540,34037,201703,700TTC,4617.75200,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
762,34037,201703,700TTC,2.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
540,34037,201703,13500_AL,464.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
762,34037,201703,13500_AL,1.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
540,34037,201703,S13298_AL,211.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
762,34037,201703,S13298_AL,1.00000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
540,34037,201703,NETMGI_AL,210.13391,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
762,34037,201703,NETMGI_AL,-13.49333,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
540,34037,201703,S10190R,53.00000,2018-12-08 06:32:49.426331,init_linear_meter
750,34037,201703,S10190R,0.00000,2018-12-08 06:32:49.426331,init_linear_meter
762,34037,201703,S10190R,0.00000,2018-12-08 06:32:49.426331,init_linear_meter
4711,34037,201703,RTCMGI_AL,0.22700,2018-12-08 06:32:49.426331,init_taux_de_marge
4711,34037,201703,S24300,54.62104,2018-12-08 06:32:49.426331,init_provision_demarque
4711,34037,201703,T6100E,895.79462,2018-12-08 06:32:49.426331,calcul_frais_surface
4711,34037,201703,T6520E,120.30156,2018-12-08 06:32:49.426331,calcul_contribution
4711,34037,201703,W200,650.91325,2018-12-08 06:32:49.426331,calcul_reduction_sur_marge
4711,34037,201703,NETMGE,1469.80729,2018-12-08 06:32:49.426331,calcul_marge_nette
4711,34037,201703,700TTC,9582.64000,2018-12-08 06:32:49.426331,init_t_order_week_but_dpt
